channel_name,channel_id,watch_count
Linus Tech Tips,UCXuqSBlHAE6Xw-yeJA0Tunw,1120
RedLetterMedia,UCrTNhL_yO3tPTdQ5XgmmWjA,870
Legends of Avantris,UCiER8p540j2SosO7OX7E0VA,635
Game Changer Shorts,UCTcw8GqWQlFcc6ioeJQOMAQ,563
LMG Clips,UCFLFc8Lpbwt4jPtY1_Ai5yA,547
Adam Savage’s Tested,UCiDJtJKMICpb9B1qf7qjEOA,291
TechLinked,UCeeFfhMcJa1kjtfZAGskOCA,284
LegalEagle,UCpa-Zb0ZcQjTCPP1Dx_1M8Q,262
Shut Up & Sit Down,UCyRhIGDUKdIOw07Pd8pHxCw,244
QI,UCe6ye3l9WA4SdNkqgs0YeMA,234
Scott Prop and Roll,UCTyvyVpWyspz8-anuyXUreA,212
Adam Ragusea,UC9_p50tH3WmMslWRWKnM7dQ,198
Estranha História,UCDjzWHhTShC59KtduL-jeig,197
eFIXX,UC4PWgTIkkv5p2shhjiXNiGg,194
ThePrimeTime,UCUyeluBRhGPCW4rPe_UvBZQ,190
Dropout,UCPDXXXJj9nax0fr0Wfc048g,179
Scott Brown Carpentry,UC_JILA9Hg517dKdMb3n2OrQ,177
Make Some Noise,UCSoJcY9wS0_L2yWOTWJWV5Q,172
Tom Scott,UCBa659QWEk1AI4Tg--mrJ2A,156
Girl With The Dogs,UCUFnGWHIQvybwmR7XDh7-9A,142
Tom Cardy,UCW7AGm8JSBEEew61dJIgl_A,141
Cortes do Estranha História,UC1ZVqDtML85igEQuk2Lp0IQ,136
This Aged Great!,UC2J6g9iavgANTSKEemLFOTA,126
Dime Store Adventures,UCUMQFUkgaEE68_ujIdW2wAw,124
Marques Brownlee,UCBJycsmduvYEL83R_U4JriQ,121
World of Io - Ioverse,UCk_yrKoKi74gKCCWVRyvwYw,117
Tasting History with Max Miller,UCsaGKqPZnGp_7N80hcHySGQ,116
Aging Wheels,UC1lIHn3KlcJimyxsVugP4uw,114
MangoJelly Solutions for FreeCAD,UCUWhaOxsRk_5oPPq00_Y7Dw,114
Defunctland,UCVo63lbKHjC04KqYhwSZ_Pg,113
Mr Sunday Movies,UCkDSAQ_5-yx5hmuvUcsJL7A,102
Daily Dose of Boy Boy,UCoiAX1AIHJelPvheQhFbBgw,101
This Old House,UCUtWNBWbFL9We-cdXkiAuJA,100
History Buffs,UCggHoXaj8BQHIiPmOxezeWA,97
jimmydiresta,UCiEk4xHBbz0hZNIBBpowdYQ,97
Games Done Quick,UCI3DTtB-a3fJPjKtQ5kYHfA,95
Outstanding Screenplays,UCjdvPP6bIMctgtP4fa7XXvA,95
Mechanicallyincleyend,UCPgg9cUPr9g5dB_hb4k5cOQ,94
robinswords,UCxU9dFfIGhnTNVI0EflR1WQ,93
Tim Heidecker,UCIA8TCSZ-BaBX-aJv92tpRQ,92
Red Bull,UCblfuW_4rakIf2h6aqANefA,91
Scott Manley,UCxzC4EngIsMrPmbm6Nxvb-A,88
LockPickingLawyer,UCm9K6rby98W8JigLoZOh6FQ,86
HAUS PLANS ®️,UCFMGCDS4rQprREJJa8f4F0Q,82
KinCony IoT,UCTHZ5imPP8e-szIByaO4Eaw,80
Mactelecom Networks,UCYAXrH-tVzs6HjDcERyOd8A,80
This Old Tony,UC5NO8MgTQKHAWXp6z8Xl7yQ,80
Johnny Johnson,UCg7Q08KKOdjSrSnXcUL00Jw,79
LastWeekTonight,UC3XTzVzaHQEd30rQbuvCtTQ,78
Andy Cooks,UCqNkn5PNeSqbQTAR5RP-L-Q,77
The Dusty Lumber Co,UCimOR5IKca6KfhT-SnBv_lg,76
Fireship,UCsBjURrPoezykLs9EqgamOA,75
TREY the Explainer,UCOuWeOkMrq84u5LY6apWQ8Q,75
Stewart Hicks,UCYAm24PkejQR2xMgJgn7xwg,73
Expleened (Storymode),UCGeIjGngCkErevSNHdZYD5Q,71
The Adam Friedland Show,UC6ext5UAbrLT2e5y5BC6RTQ,71
Adam Something,UCcvfHa-GHSOHFAjU0-Ie57A,70
Everything Smart Home,UCrVLgIniVg6jW38uVqDRIiQ,69
Valmafra Lenande,UC4GV1pS9ZY6lqNzCZFdVcog,68
AI & DevOps Toolkit,UCfz8x0lVzJpb_dgWm9kPVrw,67
Gosforth Handyman,UC8HX5CxoGOt2q1uT7uQxLOw,67
Proper DIY,UCx1m6AboILQKMNXbsLjjI4Q,67
Cortex Podcast,UCqoy014xOu7ICwgLWHd9BzQ,66
The McElroy Family,UC6k_GngLDtxbkUlZOq6_h5g,62
Extra History,UCCODtTcd5M1JavPCOr_Uydg,60
Project Farm,UC2rzsm1Qi6N1X-wuOg_p0Ng,60
Royal Armouries,UCsMX-XuiEkBi4-GDrYuniWg,60
Architectural Digest,UC0k238zFx-Z8xFH0sxCrPJg,59
Bathroom Remodeling Teacher,UCLQ4d7JPSkVaOJjWZQlv3Yg,59
ReligionForBreakfast,UCct9aR7HC79Cv2g-9oDOTLw,59
fern,UCODHrzPMGbNv67e84WDZhQQ,59
Boy Boy,UC_S45UpAYVuc0fYEcHN9BVQ,58
Everyday Home Repairs,UCw1V3VC3xAzL66X4VwqaKlg,58
AwesomeFramers,UCiDg_Mo6aJAOEnlGI4iilQw,57
colinfurze,UCp68_FLety0O-n9QU6phsgw,57
Incognito Mode,UC8Q7XEy86Q7T-3kNpNjYgwA,56
Jenna Phipps,UCejzv0MInydp0Isrza8e0tw,56
YMS,UCSc16oMxxlcJSb9SXkjwMjA,56
Kurzgesagt – In a Nutshell,UCsXVk37bltHxD1rDPwtNM8Q,55
Smart Home Solver,UCwOBG77Tm8cE24FPxHb_abw,55
Office Hours Live with Tim Heidecker,UCtS3BcCw-tITPFYSvkbP0Bg,54
WINNI,UC1pbNAyLnP_OIaEBFBl3xaw,54
City Planner Plays,UC8WAaaW2FnctRI9coYJoUdA,53
Steve Ramsey - Woodworking for Mere Mortals,UCBB7sYb14uBtk8UqSQYc9-w,53
Wendover Productions,UC9RM-iSvTu1uPJb8X5yp3EQ,53
DRIVETRIBE,UChiwLDIBJrV5SxqdixMHmQA,52
Empoeirados,UCWV8mQ8VD4SfMfP-y8HtOEQ,52
The B1M,UC6n8I1UDTKP1IWjQMg6_TwA,52
Odyssey - Ancient History Documentaries,UCV-yCAXMS-nWrHtORuDfSuQ,51
Ordinary Things,UCxLYtICsUCWdr1YPrj5DtwA,51
habie147,UC-FHoOa_jNSZy3IFctMEq2w,51
Fireball Tool,UCVveEFTOd6khhSXXnRhxJmg,50
NileBlue,UC1D3yD4wlPMico0dss264XA,50
PictureFit,UCadiU6WTKl65HUwEih1XLYg,50
Artpentry,UC3P73nMHxyHhbAKQe5efkyw,49
Last Best Tool,UCHNpKgI1cL3U8ndp9HJ8t2Q,49
Morphologis,UCiPdjrLoUsyJh3XS7Aw7rzg,49
James Hoffmann,UCMb0O2CdPBNi-QqPk5T3gsQ,48
Modustrial Maker,UC9aRTgvFLqnK1S0RsWZzlMw,48
Silver Cymbal,UC67dKTEwpAhKv2oYDATwR8g,47
Blacktail Studio,UC6I0KzAD7uFTL1qzxyunkvA,46
NileRed,UCFhXFikryT4aFcLkLw2LBLA,45
RR Buildings,UCWXEQsK3UiHszjwgGN5HUeQ,45
WVFRM Podcast,UCEcrRXW3oEYfUctetZTAWLw,45
Home Repair Tutor,UCP2vaEZS8MvZrFklwBtW1GA,44
Internet Shaquille,UCSuT9FSddzI6W5Bij9XwtmA,44
Crafted Workshop,UC-hTi9atsD6wAl2s46LpAVw,43
GreatScott!,UC6mIxFTvXkWQVEHPsEdflzQ,43
Zac Builds,UCqxM9T6ksiOVKIkb88S2r7Q,43
Cameron Gray,UCNSfV3L4jv7Kx22lxo0Sv-g,42
Weld.com,UCM0kHJXSHR1k1wtLuliKmHg,42
Storied,UCO6nDCimkF79NZRRb8YiDcA,41
Technology Connections,UCy0tKL1T7wFoYcxCe0xjN6Q,41
History Hit,UCZwU2G-KVl-P-O-B35chZOQ,40
Michael Alm (ALM FAB),UCFPi0bIn4Bc3Vkd9T-dKuzw,40
WorkshopAddict,UCbtA3P0ji7FsvxDzyxmd-0Q,40
Crosstalk Solutions,UCVS6ejD9NLZvjsvhcbiDzjw,39
Marius Hornberger,UCn7lavsPdVGV0qmEEBT6NyA,39
The Local Project,UCgxg48_pay4R67s-7WOgWFA,39
chris biscardi,UCiSIL42pQRpc-8JNiYDFyzQ,39
Jauwn,UC-nIhxjNqjcm8EmpPWBg3wA,38
Joshua Weissman,UChBEbMKI1eCcejTtmI32UEw,38
RABISCO,UC8oC-qECVjWSx9mrTdRj30w,38
brian david gilbert,UCakAg8hC_RFJm4RI3DlD7SA,38
GingerPale,UCGGTAB19HlHEWPwwmxHsEKA,37
Nextlander,UCO0gHyqLNeIrCAjwlO2BmiA,37
Family Handyman,UCyFmmBgEIeZKthkgA9UwvJQ,36
"Sao Paulo Nas Alturas , por Raul Juste Lores",UCK4AOYSWvdrgtKDEDDB6mMA,36
Snazzy Labs,UCO2x-p9gg9TLKneXlibGR7w,36
The Tim Traveller,UC2LVhJH_9cT2XKp0VAfsKOQ,36
Tool Show,UCcPuAb6RtYsoJYdZyc4jrVQ,36
CGP Grey,UC2C_jShtL725hvbm1arSV9w,35
Charlie DIYte (CharlieDIYte),UC7x7wk8yeN2ZEJCo6BgP2ag,35
Matthew Cremona,UCDpL0v-Ifie7u05lbfO3zJQ,35
STRANGE ÆONS,UCrq3JYirgV-BLluzTF6X_7A,35
Captain Disillusion,UCEOXxzW2vU0P-0THehuIIeg,34
Coffeezilla,UCFQMnBA3CS502aghlcr0_aw,34
Epicurious,UCcjhYlL1WRBjKaJsMH_h7Lg,34
Ethan Chlebowski,UCDq5v10l4wkV5-ZBIJJFbzQ,34
MR Post Frame,UCcFBzgxY4iB7-vrSywJNtfQ,34
Internet Historian,UCR1D15p_vdP3HkrH8wgjQRw,33
OneShortEye,UC2P1bJ-udK3UhVX2QvnkS9g,33
PhaestusFox,UCkxpEykG5rUxMP-mcP4519Q,33
Poseidon Entertainment,UCG0g-AeZntvsNzkDonjdFPA,33
Sabrina & Andrew,UCbVyHAeyXTIsWi1ue0kWF9g,33
UpIsNotJump,UCFLwN7vRu8M057qJF8TsBaA,33
Ashley Neal,UC_QdDflGx1D8Jh9mvQ7D8uQ,32
Badger Workshop,UCSQRZgy9lvGsLrWn6sFHZHw,32
Concrete Floor Solutions Inc.,UC75V9x5nSOyxL51pKG7P8TA,32
Folding Ideas,UCyNtlmLB73-7gtlBz00XOQQ,32
Vsauce,UC6nSFpj9HTCZ5t-N3Rm3-HA,32
weldingtipsandtricks,UCqq70AnPkj4-UApS_m_6mPw,32
LEMMiNO,UCRcgy6GzDeccI7dkbbBna3Q,31
Randy Feltface,UClUVQJQL-yGKYiceiJpNg2Q,31
TV Quase,UC033rpv7OKk-QYfrvwl5s8Q,31
Acid Marxist,UCqU_vPg5x9rULpjxunpW-vg,30
Goal Guys,UC6MXE0Px3m1aI4vI0pLWzQg,30
How To Cook That,UCsP7Bpw36J666Fct5M8u-ZA,30
Juninho Carpinteiro,UCqc2MuNTkOTTBDMeBgbVH2A,30
Let's Talk Religion,UC9dRb4fbJQIbQ3KHJZF_z0g,30
Living Ironically in Europe,UC8SNsIS6XZ6WaEeEPCSVaQg,30
NS Builders,UCIo1gaS5cLsCtgaCLhi08cg,30
No Pun Included,UCtU-oQXFKUMFvhunPrx7U-w,30
Not Just Bikes,UC0intLFzLaudFG-xAvUEO-A,30
SUMIG TV,UC7IWsv0JYZdqpYkr-mFh9tw,30
April Wilkerson,UC4v2tQ8GqP0RbmAzhp4IFkQ,29
Auto Focus,UC2J-0g_nxlwcD9JBK1eTleQ,29
Belinda Carr,UC_NzYRcT5IroUsMU2472ViQ,29
Buy Manufacturers Direct,UCdQBR5xZwdTjrOF_H8OgJow,29
Chris Young,UCvVsD2hFZRgKNH7x5Q1wwug,29
Inheritance Machining,UCVI8Mfisni3GaobL1e2JOIQ,29
Nerd of the Rings,UCW0gH2G-cMKAEjEkI4YhnPA,29
Platinum WoW,UCTqUnnRlK-n44W6xPlx6JVQ,29
Stuff Made Here,UCj1VqrHhDte54oLgPG4xpuQ,29
dprojects.woodworking,UCDaABD-__ESAfflopSqZ0ng,29
Black Hills Woodworking,UCG6E3RTykXxX08XiIGJo8UA,28
ByteByteGo,UCZgt6AzoyjslHTC9dz0UoTw,28
Home Performance,UCI2VDyfqdsttBE0X3c-ArXg,28
Letters Live,UC4VK4LX8hbTjgdAipl0cHhw,28
NeetCode,UC_mYaQAE6-71rjSN6CeCA-g,28
That Fix It Guy,UCPP-EQUUDq_M_AuLrEH8LTQ,28
3x3Custom - Tamar,UC39z4_U8Kls0llAij3RRZAQ,27
BPS.space,UCILl8ozWuxnFYXIe2svjHhg,27
ELETRICITY - O CANAL DA ELÉTRICA,UCszLDAYCEom-dwxsOsqVe6Q,27
Home Automation Guy,UC67SMH0qLMJ4b4Guud0mKjw,27
Idea Pavimenti,UCaKVfmPz8N0LQpJWVZ3PZpA,27
Joko Engineeringhelp,UC-CubOaooNwC-3RBKUoAOQQ,27
Way of the Wrench,UC_CYagWyu4MVwAfUDWWaP2w,27
Workshop Companion,UCk480B1pofOjThMfkBjhDpQ,27
Andrew Klein,UCYJ6JJ7Q938Fls5He8zYRFA,26
David Malawey,UCwirLDXiN1ybgPyIDNt85PA,26
Got2Learn,UCtxLpSnpxNiHAchvCX-4Dsg,26
Mosevic,UClqCcLlJ2TSLH97N-Yz8k5g,26
Mustard,UC1ZBQ-F-yktYD4m5AzM6pww,26
RyanImelDM,UCYLHbk94s4Jx_RGNvdQNy-g,26
The Hook Up,UC2gyzKcHbYfqoXA5xbyGXtQ,26
Actualol,UCO-hn9MJOu7pOUdGSabKGvA,25
Before You Play,UC3z8YEKBEjSPRb6L2RJPWUg,25
Jacob Geller,UCeTfBygNb1TahcNpZyELO8g,25
Kreg Tool,UC387Fhb3ijvVJNOcfg8ODWg,25
Lincoln St. Woodworks,UCqal-8AqDFpsYwZwxs4TaHg,25
Luke Humphris,UCinZmImNtqwxqgPAFlolYIQ,25
Mike Boyd,UCIRiWCPZoUyZDbydIqitHtQ,25
People Make Games,UCZB6V9fUov0Mx_us3MWWILg,25
Peter Millard,UC_FksrzP3q-IuoWTiG501LQ,25
Scott Walsh,UC7m1gtF6RCi3N3re94WQKHg,25
Sean Nalewanyj,UCGXRegKvroyGv8HbN35AjKA,25
neo,UCtYKe7-XbaDjpUwcU5x0bLg,25
Adorea Olomouc,UCpKmU3wa3d05ZIUAC7ZXnCQ,24
Alan Fisher,UC-LM91jkqJdWFvm9B5G-w7Q,24
Lift Arc Studios,UCwy7UwW7hz5c2rp8W2rkMUA,24
Schizug,UCQZpi64c0LjSovS6ODHCALw,24
hbomberguy,UClt01z1wHHT7c5lKcU8pxRQ,24
toldinstone,UCqBiWcuTF8IaLH7wBqnihsQ,24
Atun-Shei Films,UC0_CTubjGeDth7X0bxUTBTA,23
Computerphile,UC9-y-6csu5WGm29I7JiwpnA,23
Fixit Fingers,UCD1ERUTybbeOWs469KbHW5g,23
My Two Pence,UC2Hy92d-OZihM90BT7Z4ABg,23
Plastering For Beginners,UCRpIREeZ4UcofivLkgvEBLw,23
Climate Town,UCuVLG9pThvBABcYCm7pkNkA,22
Garage Gym Reviews,UCV_zy48AlwwGpdJEka1ay7w,22
Good Time Society,UCBRTbbK-avyRJSSJ2GyHs_w,22
KRAZAM,UCgBVkKoOAr3ajSdFFLp13_A,22
Little Chinese Everywhere,UC1UNB6Gy11umcbEj_hqIwhw,22
Maggie Mae Fish,UChBD4NpITiW2CzIz5GwppDA,22
Medlife Crisis,UCgRBRE1DUP2w7HTH9j_L4OQ,22
Monstergarden,UCZdrTo_md37z3iogKYrVgCw,22
Practical Engineering,UCMOqf8ab-42UUQIdVoKwjlQ,22
Time Team Classics,UCvmEISc6e4tLwn8TyS14ncw,22
Justin Garrison,UCCOfb0euSR3nlKMMX9xZBEw,21
Pask Makes,UCNyGbxoEo6CQvaRVEvItxkA,21
Paul Sellers,UCc3EpWncNq5QL0QhwUNQb7w,21
RLM Highlights,UCd5e5iX6EKpnS8UEJbCtt6g,21
Stud Pack,UCjG94SagJZoyPggcBhUdFCA,21
Thomas Flight,UCUyvQV2JsICeLZP4c_h40kA,21
BoardGameCo,UCUKEGjiSoFnemBsCLKrdeJA,20
Christian Lempa,UCZNhwA1B5YqiY1nLzmM0ZRg,20
Hand Tool Rescue,UCasG9kJWi1eVxM0QkyqKVJQ,20
History for GRANITE,UCDWboBDVnIsGdYSK3KUO0hQ,20
Hoog,UCii9ezsUa_mBiSdw0PtSOaw,20
Insider Carpentry - Spencer Lewis,UCzqh_8hImIc9fhvUu0oVC8w,20
Mythology & Fiction Explained,UCH4Bz5Swatl5iHSuCT_Hlxg,20
Newton Makes,UCC6IoQwiGlJ4K8TdcSMUzSg,20
PolyMatter,UCgNg3vwj3xt7QOrcIDaHdFg,20
Stefan Milo,UCZ9jWH_8tJ-Nmaj8dSQdEYA,20
ZachTheBold,UCZXeRF4LiG4edJ72M1EKquw,20
oaaQIworld,UC3F60Pt6dx6UnFHXwhAUkSg,20
DIY Montreal,UCCvA0z4c_gJnlbCzvGtTX5w,19
Foureyes Furniture,UC1V-DYqsaj764uBis9-UDug,19
Jay Foreman,UCbbQalJ4OaC0oQ0AqRaOJ9g,19
Shaun,UCJ6o36XL0CpYb6U5dNBiXHQ,19
Spectacles,UCgQ7Amr6fvCJyVlCwEi1bLw,19
Brian Oltrogge,UCOywIdppbhn6hkgcEtDMatg,18
Hardware Haven,UCgdTVe88YVSrOZ9qKumhULQ,18
Logic Projects,UC7v3YEDa603x_84PgCPytzA,18
Training Hands Academy,UCELo4EJTWb-5vC-GBBTa1uA,18
Bent's Woodworking,UCiQO4At218jezfjPqDzn1CQ,17
Bosnian Ape Society,UCwkDQ8tE_3UhB8LcnvUv0Fw,17
Brazilian Vision,UCa3bwNwCvtpomb0-usHj7Nw,17
Calum,UCR_i-r3a0vnlUJxEN4_5l3g,17
ESA Speedrunning,UC3Oe-jfrIqEGygxYBYyN6jQ,17
Electric Pro Academy,UCEi84kmtGymUAjhVK6fxOzQ,17
Imperial War Museums,UC3uAjWoLZ4bSi6qI9SjALxA,17
Index,UCYMhbVXT7RZ1YxzyYWRaK8Q,17
Leadwork SW,UCNeOhHJ5z_lLMWGfGmuc-Qw,17
Natural Polishing Concrete,UCFSjOATiwosAojOOySIwOOA,17
Next Level Carpentry,UCXRNHTVpEdhz9BIvomETGiQ,17
Noclip,UC0fDG3byEcMtbOqPMymDNbw,17
Under Dunn,UCMABHak-OpZbC7k3HT2P5yQ,17
reubs,UCpsN2TfWGmun4peN2IPgcKg,17
Andreas Spiess,UCu7_D0o48KbfhpEohoP7YSQ,16
BeardedTinker,UCuqokNoK8ZFNQdXxvlE129g,16
Campbell Built,UC-V3dBFTEE8GGsPgQnOfBYA,16
DamiLee,UCJ_2hNMxOzNjviJBiLWHMqg,16
